	title	annex	thema	primary_dataprovider	extra_dataprovider	decision_policy_manager	date_decision	dataset_status	md_url_as_is	md_url_harmonized
0	CBS gebiedsindelingen	Annex III	Statistische eenheden	Centraal Bureau voor de Statistiek (CBS)		Aangemerkt	19/06/2013	Afgerond	https://nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search;jsessionid=E945E7681D455B9998DF3E55B7B87820#/metadata/effe1ab0-073d-437c-af13-df5c5e07d6cd	https://nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search;jsessionid=E945E7681D455B9998DF3E55B7B87820#/metadata/10d1153e-778f-4995-9b6c-7c69b196cccb
1	Bestand Bodemgebruik	Annex III	Landgebruik	Centraal Bureau voor de Statistiek (CBS)		Aangemerkt	19/06/2013	Afgerond	https://nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search;jsessionid=E945E7681D455B9998DF3E55B7B87820#/metadata/d9bf1ce1-5197-409e-b19e-340e50afafc4	https://nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search;jsessionid=E945E7681D455B9998DF3E55B7B87820#/metadata/6318009c-7b11-4ab9-9929-735584dfb692
2	Aantal doden en doctoren (per provincie)	Annex III	Menselijke gezondheid en veiligheid	Centraal Bureau voor de Statistiek (CBS)		Aangemerkt	19/06/2013	Afgerond	https://nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search;jsessionid=E945E7681D455B9998DF3E55B7B87820#/metadata/12bb57cd-73e0-41ba-a1e9-6d986b9109d3	https://nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search;jsessionid=E945E7681D455B9998DF3E55B7B87820#/metadata/12bb57cd-73e0-41ba-a1e9-6d986b9109d3
3	Aantal inwoners per vierkanten - 100m	Annex III	Spreiding van de bevolking — demografie	Centraal Bureau voor de Statistiek (CBS)		Aangemerkt	19/06/2013	Afgerond	https://nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search;jsessionid=E945E7681D455B9998DF3E55B7B87820#/metadata/1462bbce-ccd3-4362-83d8-4535ca8f44eb	https://nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search;jsessionid=E945E7681D455B9998DF3E55B7B87820#/metadata/76541ebb-a554-4540-a017-399d4bb4a860
4	Aantal inwoners per vierkanten - 500m	Annex III	Spreiding van de bevolking — demografie	Centraal Bureau voor de Statistiek (CBS)		Aangemerkt	19/06/2013	Afgerond	https://nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search;jsessionid=E945E7681D455B9998DF3E55B7B87820#/metadata/f605a24f-60cd-4c40-94c8-2186aba3ddd0	https://nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search;jsessionid=E945E7681D455B9998DF3E55B7B87820#/metadata/76541ebb-a554-4540-a017-399d4bb4a860
5	Nuts-netwerken	Annex III	Nutsdiensten en overheidsdiensten	Gemeenten		Aangemerkt	28/05/2014	Afgerond		
6	Kadaster en Rijkswaterstaat zijn verantwoordelijk voor de parameters van het RD en NAP	Annex I	Systemen voor verwijzing door middel van coördinaten	Kadaster	Rijkswaterstaat	Aangemerkt	31/03/2010	Afgerond	https://nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search;jsessionid=E945E7681D455B9998DF3E55B7B87820#/metadata/29c17585-e702-463f-a5dc-99d34b17d333	
7	TOP10NL uit Basisregistratie Topografie (BRT)	Annex I	Geografische namen	Kadaster		Aangemerkt	31/03/2010	Afgerond	https://nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search;jsessionid=E945E7681D455B9998DF3E55B7B87820#/metadata/29d5310f-dd0d-45ba-abad-b4ffc6b8785f	https://nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search;jsessionid=E945E7681D455B9998DF3E55B7B87820#/metadata/1a40eb6f-4f33-4e15-a0b1-2d350ad2636e
8	Bestuurlijke grenzen uit Basisregistratie Kadaster (BRK)	Annex I	Administratieve eenheden	Kadaster		Aangemerkt	31/03/2010	Afgerond	https://nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search;jsessionid=E945E7681D455B9998DF3E55B7B87820#/metadata/c5c4a6d6-b850-473c-8ab5-af9c2c550809	https://nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search;jsessionid=E945E7681D455B9998DF3E55B7B87820#/metadata/7dd1fd45-ace5-41e0-93a6-64e3be231717
9	Adressen uit Basisregistratie Adressen  (LV BAG)	Annex I	Adressen	Kadaster		Aangemerkt	31/03/2010	Afgerond	https://nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search;jsessionid=E945E7681D455B9998DF3E55B7B87820#/metadata/aa3b5e6e-7baa-40c0-8972-3353e927ec2f	https://nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search;jsessionid=E945E7681D455B9998DF3E55B7B87820#/metadata/a5f961e9-ebdd-41e2-b8e8-ab33ed340a83
